question,answer,category
What are my rights if police arrest me without warrant?,In many situations police require legal grounds for arrest. You have the right to know the reason for arrest and the right to consult a lawyer.,Criminal Law
Can I file a complaint for domestic violence?,Yes. A domestic violence complaint can be filed under the Protection of Women from Domestic Violence Act through police or magistrate.,Family Law
What should I do if my employer does not pay salary?,You may first send a formal notice and then approach the labour commissioner or relevant court depending on your employment type.,Labour Law
Can property be transferred without registration?,Certain property transfers require proper legal documentation and registration under applicable property laws.,Property Law
How can I apply for bail?,You may apply for bail through the court with the help of an advocate. The process depends on whether the offence is bailable or non-bailable.,Criminal Law
What can I do in case of cyber fraud?,You should report the incident immediately to the cyber crime portal or nearest police station and preserve all transaction records.,Cyber Law
Can I get divorce on grounds of cruelty?,Cruelty can be a valid legal ground for divorce depending on personal laws and case facts.,Family Law
What happens if a cheque bounces?,Cheque bounce may attract legal action under the Negotiable Instruments Act and the issuer may receive legal notice.,Financial Law
How do I register an FIR?,You can go to the police station having jurisdiction and provide the complaint details. In cognizable offences police are expected to register the FIR.,Criminal Law
Can tenants be evicted without notice?,Eviction rules depend on tenancy law and agreement terms. Usually due process and notice are required.,Property Law
